,Name of the movie,Year of Release,Duration,Metascore,Votes,Gross
0,The Shawshank Redemption,1994,142,80,"24,50,660",$28.34M
1,The Godfather,1972,175,100,"16,96,257",$134.97M
2,Soorarai Pottru,2020,153,0,"88,794",$0
3,The Dark Knight,2008,152,84,"24,06,378",$534.86M
4,The Godfather: Part II,1974,202,90,"11,78,187",$57.30M
5,12 Angry Men,1957,96,96,"7,25,329",$4.36M
6,Dara iz Jasenovca,2020,130,0,"78,912",$0
7,Shershaah,2021,135,0,"83,734",$0
8,The Lord of the Rings: The Return of the King,2003,201,94,"17,02,431",$377.85M
9,Pulp Fiction,1994,154,94,"18,99,622",$107.93M
10,Schindler's List,1993,195,94,"12,60,705",$96.90M
11,Inception,2010,148,74,"21,58,734",$292.58M
12,Fight Club,1999,139,66,"19,30,954",$37.03M
13,The Lord of the Rings: The Fellowship of the Ring,2001,178,92,"17,23,668",$315.54M
14,Forrest Gump,1994,142,82,"18,94,424",$330.25M
15,"Il buono, il brutto, il cattivo",1966,161,90,"7,14,635",$6.10M
16,The Lord of the Rings: The Two Towers,2002,179,87,"15,39,185",$342.55M
17,The Matrix,1999,136,73,"17,44,283",$171.48M
18,Goodfellas,1990,146,90,"10,64,338",$46.84M
19,Star Wars: Episode V - The Empire Strikes Back,1980,124,82,"12,00,260",$290.48M
20,One Flew Over the Cuckoo's Nest,1975,133,84,"9,50,288",$112.00M
21,Gisaengchung,2019,132,96,"6,50,027",$53.37M
22,Drishyam 2,2021,152,0,"30,222",$0
23,Interstellar,2014,169,74,"16,03,153",$188.02M
24,Cidade de Deus,2002,130,79,"7,19,317",$7.56M
25,Sen to Chihiro no kamikakushi,2001,125,96,"6,88,861",$10.06M
26,Saving Private Ryan,1998,169,91,"12,86,085",$216.54M
27,The Green Mile,1999,189,61,"11,97,544",$136.80M
28,La vita è bella,1997,116,59,"6,48,949",$57.60M
29,Se7en,1995,127,65,"15,08,449",$100.13M
30,The Silence of the Lambs,1991,118,85,"13,25,210",$130.74M
31,Star Wars,1977,121,90,"12,72,234",$322.74M
32,Seppuku,1962,133,85,"48,275",$0
33,Shichinin no samurai,1954,207,98,"3,27,547",$0.27M
34,It's a Wonderful Life,1946,130,89,"4,20,717",$0
35,Ratsasan,2018,170,0,"34,049",$0
36,Whiplash,2014,106,88,"7,58,112",$13.09M
37,The Intouchables,2011,112,57,"7,92,731",$13.18M
38,The Prestige,2006,130,66,"12,38,824",$53.09M
39,The Departed,2006,151,85,"12,35,069",$132.38M
40,The Pianist,2002,150,85,"7,66,172",$32.57M
41,Gladiator,2000,155,67,"13,92,463",$187.71M
42,American History X,1998,119,62,"10,63,637",$6.72M
43,The Usual Suspects,1995,106,77,"10,24,767",$23.34M
44,Léon,1994,110,64,"10,76,411",$19.50M
45,The Lion King,1994,88,88,"9,79,162",$422.78M
46,Terminator 2: Judgment Day,1991,137,75,"10,29,704",$204.84M
47,Nuovo Cinema Paradiso,1988,155,80,"2,43,763",$11.99M
48,Hotaru no haka,1988,89,94,"2,50,756",$0
49,Back to the Future,1985,116,87,"11,07,112",$210.61M
50,Once Upon a Time in the West,1968,165,80,"3,13,120",$5.32M
51,Psycho,1960,109,97,"6,27,512",$32.00M
52,Pather Panchali,1955,125,0,"27,875",$0.54M
53,Rear Window,1954,112,100,"4,62,845",$36.76M
54,Casablanca,1942,102,100,"5,40,691",$1.02M
55,Modern Times,1936,87,96,"2,27,511",$0.16M
56,City Lights,1931,87,99,"1,75,083",$0.02M
57,Hamilton,2020,160,90,"71,976",$0
58,Capharnaüm,2018,126,75,"73,652",$1.66M
59,Joker,2019,122,59,"10,53,904",$335.45M
60,Ayla: The Daughter of War,2017,125,0,"36,805",$0
61,Vikram Vedha,2017,147,0,"33,122",$0
62,Kimi no na wa.,2016,106,79,"2,21,441",$5.02M
63,Dangal,2016,161,0,"1,69,918",$12.39M
64,Spider-Man: Into the Spider-Verse,2018,117,87,"4,21,330",$190.24M
65,Avengers: Endgame,2019,181,78,"9,27,379",$858.37M
66,Avengers: Infinity War,2018,149,68,"9,14,984",$678.82M
67,Coco,I 2017,105,81,"4,27,066",$209.73M
68,Django Unchained,2012,165,81,"14,18,845",$162.81M
69,The Dark Knight Rises,2012,164,78,"15,71,196",$448.14M
70,3 Idiots,2009,170,67,"3,65,571",$6.53M
71,Taare Zameen Par,2007,165,0,"1,79,634",$1.22M
72,WALL·E,2008,98,95,"10,38,059",$223.81M
73,The Lives of Others,2006,137,89,"3,71,209",$11.29M
74,Oldeuboi,2003,101,77,"5,37,978",$0.71M
75,Memento,2000,113,80,"11,64,541",$25.54M
76,Mononoke-hime,1997,134,76,"3,62,601",$2.38M
77,Once Upon a Time in America,1984,229,0,"3,26,061",$5.32M
78,Raiders of the Lost Ark,1981,115,85,"9,13,663",$248.16M
79,The Shining,1980,146,66,"9,37,344",$44.02M
80,Apocalypse Now,1979,147,94,"6,27,362",$83.47M
81,Alien,1979,117,89,"8,19,344",$78.90M
82,Tengoku to jigoku,1963,143,0,"39,019",$0
83,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,97,"4,66,001",$0.28M
84,Witness for the Prosecution,1957,116,0,"1,15,339",$8.18M
85,Paths of Glory,1957,88,90,"1,86,231",$0
86,Sunset Blvd.,1950,110,0,"2,09,967",$0
87,The Great Dictator,1940,125,0,"2,12,308",$0.29M
88,Chhichhore,2019,143,0,"42,596",$0.90M
89,1917,2019,119,78,"4,84,704",$159.23M
90,Uri: The Surgical Strike,2019,138,0,"49,808",$4.19M
91,Tumbbad,2018,104,0,"36,070",$0
92,K.G.F: Chapter 1,2018,156,0,"46,373",$0
93,Drishyam,2013,160,0,"37,873",$0
94,Jagten,2012,115,77,"3,00,983",$0.69M
95,Jodaeiye Nader az Simin,2011,123,95,"2,30,795",$7.10M
96,Incendies,2010,131,80,"1,60,471",$6.86M
97,Kimetsu no Yaiba: Mugen Ressha-Hen,2020,117,75,"33,072",$0
98,The Father,I 2020,97,88,"88,542",$0
99,Babam ve Oglum,2005,112,0,"82,674",$0
